"id","name","height","weight","genus","description"
344,"Claydol",15,1080,"Clay Doll Pokémon","Claydol is an enigma that appeared from a clay statue made by
an ancient civilization dating back 20,000 years. This Pokémon
shoots beams from both its hands."
345,"Lileep",10,238,"Sea Lily Pokémon","Lileep is an ancient Pokémon that was regenerated from a
fossil. It remains permanently anchored to a rock. From its
immobile perch, this Pokémon intently scans for prey with its
two eyes."
346,"Cradily",15,604,"Barnacle Pokémon","Cradily’s body serves as an anchor, preventing it from being
washed away in rough seas. This Pokémon secretes a strong
digestive fluid from its tentacles."
347,"Anorith",7,125,"Old Shrimp Pokémon","Anorith is said to be a type of Pokémon predecessor, with
eight wings at the sides of its body. This Pokémon swam in the
primordial sea by undulating these eight wings."
348,"Armaldo",15,682,"Plate Pokémon","Armaldo is a Pokémon species that became extinct in
prehistoric times. This Pokémon is said to have walked
on its hind legs, which would have been more convenient
for life on land."
349,"Feebas",6,74,"Fish Pokémon","Although unattractive and unpopular, this
Pokémon’s marvelous vitality has made it a
subject of research."
350,"Milotic",62,1620,"Tender Pokémon","It lives at the bottom of clear lakes. In times of
war, it shows itself, which soothes people’s
minds and hearts."
351,"Castform",3,8,"Weather Pokémon","Its form changes on its own, due to its cells’
sensitive reactions to temperature and humidity."
352,"Kecleon",10,220,"Color Swap Pokémon","Kecleon alters its body coloration to blend in with its
surroundings, allowing it to sneak up on its prey unnoticed.
Then it lashes out with its long, stretchy tongue to instantly
ensnare the unsuspecting target."
353,"Shuppet",6,23,"Puppet Pokémon","Shuppet grows by feeding on dark emotions, such as
vengefulness and envy, in the hearts of people. It roams
through cities in search of grudges that taint people."
354,"Banette",11,125,"Marionette Pokémon","A cursed energy permeated the stuffing of a discarded and
forgotten plush doll, giving it new life as Banette.
The Pokémon’s energy would escape if it were to ever open
its mouth."
355,"Duskull",8,150,"Requiem Pokémon","Duskull wanders lost among the deep darkness of midnight.
There is an oft-told admonishment given to misbehaving
children that this Pokémon will spirit away bad children who
earn scoldings from their mothers."
356,"Dusclops",16,306,"Beckon Pokémon","Dusclops absorbs anything, however large the object may be.
This Pokémon hypnotizes its foe by waving its hands in a
macabre manner and by bringing its single eye to bear.
The hypnotized foe is made to do Dusclops’s bidding."
357,"Tropius",20,1000,"Fruit Pokémon","Children of the southern tropics eat as snacks the fruit that
grows in bunches around the neck of Tropius. This Pokémon
flies by flapping the leaves on its back as if they were wings."
358,"Chimecho",6,10,"Wind Chime Pokémon","In high winds, Chimecho cries as it hangs from a tree branch or
the eaves of a building using a suction cup on its head. This
Pokémon plucks berries with its long tail and eats them."
359,"Absol",12,470,"Disaster Pokémon","Although it’s said to bring disaster, in actuality,
this Pokémon possesses a calm disposition and
warns people of any crises that loom."
360,"Wynaut",6,140,"Bright Pokémon","Wynaut gather on moonlit nights to play by squeezing up
against each other. By being squeezed, this Pokémon gains
endurance and is trained to dole out powerful counterattacks."
361,"Snorunt",7,168,"Snow Hat Pokémon","It can only survive in cold areas. It bounces
happily around, even in environments as cold as
-150 degrees Fahrenheit."
362,"Glalie",15,2565,"Face Pokémon","Its prey is instantaneously frozen stiff by the
cold air it exhales from its huge mouth. While
they’re in that frozen state, it gobbles them up."
363,"Spheal",8,395,"Clap Pokémon","Spheal always travels by rolling around on its ball-like body.
When the season for ice floes arrives, this Pokémon can be
seen rolling about on ice and crossing the sea."
364,"Sealeo",11,876,"Ball Roll Pokémon","Sealeo often balances and rolls things on the tip of its
nose. While the Pokémon is rolling something, it checks
the object’s aroma and texture to determine whether it likes
the object or not."
365,"Walrein",14,1506,"Ice Break Pokémon","Walrein swims all over in frigid seawater while crushing
icebergs with its grand, imposing tusks. Its thick layer of
blubber makes enemy attacks bounce off harmlessly."
366,"Clamperl",4,525,"Bivalve Pokémon","Clamperl grows while being protected by its rock-hard shell.
When its body becomes too large to fit inside the shell, it is
sure evidence that this Pokémon is getting close to evolution."
367,"Huntail",17,270,"Deep Sea Pokémon","Huntail’s tail is shaped like a fish. It uses the tail to attract
prey, then swallows the prey whole with its large, gaping
mouth. This Pokémon swims by wiggling its slender body
like a snake."
368,"Gorebyss",18,226,"South Sea Pokémon","Although Gorebyss is the very picture of elegance and beauty
while swimming, it is also cruel. When it spots prey, this
Pokémon inserts its thin mouth into the prey’s body and drains
the prey of its body fluids."
369,"Relicanth",10,234,"Longevity Pokémon","It was fortuitously discovered during a deep sea
expedition. Its teeth have atrophied, so it now
survives on microscopic organisms it sucks up."
370,"Luvdisc",6,87,"Rendezvous Pokémon","Loving couples have a soft spot for this
Pokémon, so honeymoon hotels often release
this Pokémon into their pools."
371,"Bagon",6,421,"Rock Head Pokémon","With its steel-hard stone head, it headbutts
indiscriminately. This is because of the stress
it feels at being unable to fly."
372,"Shelgon",11,1105,"Endurance Pokémon","They lurk deep within caves—motionless,
neither eating nor drinking. Why they don’t die is
not known."
373,"Salamence",15,1026,"Dragon Pokémon","It flies around on its wings, which have grown in
at last. In its happiness, it gushes hot flames,
burning up the fields it passes over."
374,"Beldum",6,952,"Iron Ball Pokémon","With magnetic traction, it pulls its opponents in
close. When they’re in range, it slashes them
with its rear claws."
375,"Metang",12,2025,"Iron Claw Pokémon","It adores magnetic minerals, so it pursues
Nosepass at speeds exceeding 60 mph."
376,"Metagross",16,5500,"Iron Leg Pokémon","A linkage of two Metang, this Pokémon can
perform any calculation in a flash by utilizing
parallel processing in its four brains."
377,"Regirock",17,2300,"Rock Peak Pokémon","Regirock’s body is composed entirely of rocks. Recently,
a study made the startling discovery that the rocks were all
unearthed from different locations."
378,"Regice",18,1750,"Iceberg Pokémon","Regice cloaks itself with frigid air of -328 degrees Fahrenheit.
Things will freeze solid just by going near this Pokémon.
Its icy body is so cold, it will not melt even if it is immersed
in magma."
379,"Registeel",19,2050,"Iron Pokémon","Registeel was imprisoned by people in ancient times.
The metal composing its body is thought to be a curious
substance that is not of this earth."
380,"Latias",14,400,"Eon Pokémon","Latias is highly intelligent and capable of understanding
human speech. It is covered with a glass-like down.
The Pokémon enfolds its body with its down and refracts
light to alter its appearance."
381,"Latios",20,600,"Eon Pokémon","Latios will only open its heart to a Trainer with a
compassionate spirit. This Pokémon can fly faster than a
jet plane by folding its forelegs to minimize air resistance."
382,"Kyogre",45,3520,"Sea Basin Pokémon","Kyogre is said to be the personification of the sea itself.
Legends tell of its many clashes against Groudon,
as each sought to gain the power of nature."
383,"Groudon",35,9500,"Continent Pokémon","Through Primal Reversion and with nature’s full power,
it will take back its true form. It can cause magma to
erupt and expand the landmass of the world."
384,"Rayquaza",70,2065,"Sky High Pokémon","It flies forever through the ozone layer, consuming
meteoroids for sustenance. The many meteoroids
in its body provide the energy it needs to Mega Evolve."
385,"Jirachi",3,11,"Wish Pokémon","Jirachi will awaken from its sleep of a thousand years if you
sing to it in a voice of purity. It is said to make true any wish
that people desire."
386,"Deoxys",17,608,"DNA Pokémon","Deoxys emerged from a virus that came from space. It is highly
intelligent and wields psychokinetic powers. This Pokémon
shoots lasers from the crystalline organ on its chest."
387,"Turtwig",4,102,"Tiny Leaf Pokémon","It undertakes photosynthesis with its body, making
oxygen. The leaf on its head wilts if it is thirsty."
388,"Grotle",11,970,"Grove Pokémon","It knows where pure water wells up. It carries fellow
Pokémon there on its back."
389,"Torterra",22,3100,"Continent Pokémon","Small Pokémon occasionally gather on its unmoving
back to begin building their nests."
390,"Chimchar",5,62,"Chimp Pokémon","The gas made in its belly burns from its rear end.
The fire burns weakly when it feels sick."
391,"Monferno",9,220,"Playful Pokémon","It uses ceilings and walls to launch aerial attacks.
Its fiery tail is but one weapon."
392,"Infernape",12,550,"Flame Pokémon","It tosses its enemies around with agility. It uses all
its limbs to fight in its own unique style."
393,"Piplup",4,52,"Penguin Pokémon","Because it is very proud, it hates accepting food
from people. Its thick down guards it from cold."
394,"Prinplup",8,230,"Penguin Pokémon","It lives a solitary life. Its wings deliver wicked blows
that can snap even the thickest of trees."
395,"Empoleon",17,845,"Emperor Pokémon","The three horns that extend from its beak attest to
its power. The leader has the biggest horns."
396,"Starly",3,20,"Starling Pokémon","They flock around mountains and fields, chasing
after bug Pokémon. Their singing is noisy
and annoying."
397,"Staravia",6,155,"Starling Pokémon","It lives in forests and fields. Squabbles over
territory occur when flocks collide."
398,"Staraptor",12,249,"Predator Pokémon","When Staravia evolve into Staraptor, they leave the
flock to live alone. They have sturdy wings."
399,"Bidoof",5,200,"Plump Mouse Pokémon","It constantly gnaws on logs and rocks to whittle
down its front teeth. It nests alongside water."
400,"Bibarel",10,315,"Beaver Pokémon","It makes its nest by damming streams with bark and
mud. It is known as an industrious worker."
401,"Kricketot",3,22,"Cricket Pokémon","When its antennae hit each other, it sounds like the
music of a xylophone."
402,"Kricketune",10,255,"Cricket Pokémon","It signals its emotions with its melodies. Scientists
are studying these melodic patterns."
403,"Shinx",5,95,"Flash Pokémon","All of its fur dazzles if danger is sensed. It flees
while the foe is momentarily blinded."
404,"Luxio",9,305,"Spark Pokémon","Strong electricity courses through the tips of its
sharp claws. A light scratch causes fainting in foes."
405,"Luxray",14,420,"Gleam Eyes Pokémon","Luxray’s ability to see through objects comes in
handy when it’s scouting for danger."
406,"Budew",2,12,"Bud Pokémon","Over the winter, it closes its bud and endures the
cold. In spring, the bud opens and releases pollen."
407,"Roserade",9,145,"Bouquet Pokémon","With the movements of a dancer, it strikes with
whips that are densely lined with poison thorns."
408,"Cranidos",9,315,"Head Butt Pokémon","In rock layers where Cranidos fossils are found,
the fossilized trunks of trees snapped in two
are also often found."
409,"Rampardos",16,1025,"Head Butt Pokémon","Records exist of a revived fossil that evolved
into Rampardos. It proceeded to escape and
then destroy a skyscraper with a headbutt."
410,"Shieldon",5,570,"Shield Pokémon","This Pokémon lived in primeval jungles. Few
enemies would have been willing to square off
against its heavily armored face, so it’s thought."
411,"Bastiodon",13,1495,"Shield Pokémon","It lived in the same environments as Rampardos.
Their fossils have been found together—
seemingly from after they’d fought to the finish."
412,"Burmy",2,34,"Bagworm Pokémon","If its cloak is broken in battle, it quickly remakes
the cloak with materials nearby."
413,"Wormadam",5,65,"Bagworm Pokémon","When Burmy evolved, its cloak became a part of
this Pokémon’s body. The cloak is never shed."
414,"Mothim",9,233,"Moth Pokémon","It flutters around at night and steals honey from
the Combee hive."
415,"Combee",3,55,"Tiny Bee Pokémon","It collects and delivers honey to its colony.
At night, they cluster to form a beehive and sleep."
416,"Vespiquen",12,385,"Beehive Pokémon","Its abdomen is a honeycomb for grubs. It raises its
grubs on honey collected by Combee."
417,"Pachirisu",4,39,"EleSquirrel Pokémon","A pair may be seen rubbing their cheek pouches
together in an effort to share stored electricity."
418,"Buizel",7,295,"Sea Weasel Pokémon","It inflates the flotation sac around its neck and
pokes its head out of the water to see what is
going on."
419,"Floatzel",11,335,"Sea Weasel Pokémon","Its flotation sac developed as a result of pursuing
aquatic prey. It can double as a rubber raft."
420,"Cherubi",4,33,"Cherry Pokémon","It evolves by sucking the energy out of the small
ball where it had been storing nutrients."
421,"Cherrim",5,93,"Blossom Pokémon","If it senses strong sunlight, it opens its folded
petals to absorb the sun’s rays with its whole body."
422,"Shellos",3,63,"Sea Slug Pokémon","Purple mucus sticks to the hands of anyone
who touches it. Take care, as the substance is
troublesome to wash off. "
423,"Gastrodon",9,299,"Sea Slug Pokémon","Plankton, invisible to the naked eye, is its main
food source. It comes onto the land periodically,
but the reason for this is not known."
424,"Ambipom",12,203,"Long Tail Pokémon","To eat, it deftly shucks nuts with its two tails.
It rarely uses its arms now."
425,"Drifloon",4,12,"Balloon Pokémon","If for some reason its body bursts, its soul spills
out with a screaming sound."
426,"Drifblim",12,150,"Blimp Pokémon","Even while under careful observation, large
flocks of Drifblim flying at dusk will inexplicably
disappear from view."
427,"Buneary",4,55,"Rabbit Pokémon","When it senses danger, it perks up its ears.
On cold nights, it sleeps with its head tucked into
its fur."
428,"Lopunny",12,333,"Rabbit Pokémon","The ears appear to be delicate. If they are touched
roughly, it kicks with its graceful legs."
429,"Mismagius",9,44,"Magical Pokémon","Mismagius have been known to cast spells to
make people fall in love, so some people search
for this Pokémon as if their life depended on it."
430,"Honchkrow",9,273,"Big Boss Pokémon","If its Murkrow cronies fail to catch food for it,
or if it feels they have betrayed it, it will hunt
them down wherever they are and punish them."
431,"Glameow",5,39,"Catty Pokémon","When it’s happy, Glameow demonstrates beautiful
movements of its tail, like a dancing ribbon."
432,"Purugly",10,438,"Tiger Cat Pokémon","To make itself appear intimidatingly beefy, it tightly
cinches its waist with its twin tails."
433,"Chingling",2,6,"Bell Pokémon","There is an orb inside its mouth. When it hops,
the orb bounces all over and makes a
ringing sound."
434,"Stunky",4,192,"Skunk Pokémon","It protects itself by spraying a noxious fluid from its
rear. The stench lingers for 24 hours."
435,"Skuntank",10,380,"Skunk Pokémon","It sprays a stinky fluid from its tail. The fluid smells
worse the longer it is allowed to fester."
436,"Bronzor",5,605,"Bronze Pokémon","Implements shaped like it were discovered in
ancient tombs. It is unknown if they are related."
437,"Bronzong",13,1870,"Bronze Bell Pokémon","Ancient people believed that petitioning Bronzong
for rain was the way to make crops grow."
438,"Bonsly",5,150,"Bonsai Pokémon","From its eyes, it can expel excess moisture from
its body. This liquid is similar in composition to
human sweat."
439,"Mime Jr.",6,130,"Mime Pokémon","It habitually mimics foes. Once mimicked, the foe
cannot take its eyes off this Pokémon."
440,"Happiny",6,244,"Playhouse Pokémon","It’s too small to lay eggs yet. As a surrogate,
it searches out round white stones."
441,"Chatot",5,19,"Music Note Pokémon","It can learn and speak human words. If they gather,
they all learn the same saying."
442,"Spiritomb",10,1080,"Forbidden Pokémon","It was bound to a fissure in an odd keystone as
punishment for misdeeds 500 years ago."
443,"Gible",7,205,"Land Shark Pokémon","It skulks in caves, and when prey or an enemy
passes by, it leaps out and chomps them. The
force of its attack sometimes chips its teeth."
444,"Gabite",14,560,"Cave Pokémon","Shiny objects are its passion. It can be found in
its cave, scarcely moving, its gaze fixed on the
jewels it’s amassed or Carbink it has caught."
445,"Garchomp",19,950,"Mach Pokémon","The protuberances on its head serve as
sensors. It can even detect distant prey."
446,"Munchlax",6,1050,"Big Eater Pokémon","When it finds something that looks like it might
be edible, it goes right ahead and swallows it
whole. That’s why it gets fatter day by day."
447,"Riolu",7,202,"Emanation Pokémon","It’s tough enough to run right through the night,
and it’s also a hard worker, but it’s still just
a youngster."
448,"Lucario",12,540,"Aura Pokémon","They can detect the species of a living being—
and its emotions—from over half a mile away.
They control auras and hunt their prey in packs."
449,"Hippopotas",8,495,"Hippo Pokémon","It enshrouds itself with sand to protect itself from
germs. It does not enjoy getting wet."
450,"Hippowdon",20,3000,"Heavyweight Pokémon","It blasts internally stored sand from ports on its
body to create a towering twister for attack."
451,"Skorupi",8,120,"Scorpion Pokémon","It burrows under the sand to lie in wait for prey.
Its tail claws can inject its prey with a
savage poison."
452,"Drapion",13,615,"Ogre Scorpion Pokémon","It has the power in its clawed arms to make scrap
of a car. The tips of its claws release poison."
453,"Croagunk",7,230,"Toxic Mouth Pokémon","Inflating its poison sacs, it fills the area with an odd
sound and hits flinching opponents with a
poison jab."
454,"Toxicroak",13,444,"Toxic Mouth Pokémon","Its knuckle claws secrete a toxin so vile that even a
scratch could prove fatal."
455,"Carnivine",14,270,"Bug Catcher Pokémon","It binds itself to trees in marshes. It attracts prey
with its sweet-smelling drool and gulps them down."
456,"Finneon",4,70,"Wing Fish Pokémon","Its double tail fins propel its energetic jumps.
When it breaks the surface of the sea, Wingull
swoop down to grab it on the fly."
457,"Lumineon",12,240,"Neon Pokémon","This deep-sea Pokémon lives at the bottom of
the sea. Its fins haul it over the seabed in
search of its favorite food—Starmie."
458,"Mantyke",10,650,"Kite Pokémon","When it swims close to the surface of the ocean,
people aboard ships are able to observe the pattern
on its back."
459,"Snover",10,505,"Frost Tree Pokémon","In the spring, it grows berries with the texture of
frozen treats around its belly."
460,"Abomasnow",22,1355,"Frost Tree Pokémon","It lives a quiet life on mountains that are perpetually
covered in snow. It hides itself by whipping
up blizzards."
461,"Weavile",11,340,"Sharp Claw Pokémon","They dwell in cold places. This Pokémon’s main
food source in Alola is Vulpix and Sandshrew,
which they carefully divide among their group."
462,"Magnezone",12,1800,"Magnet Area Pokémon","As it zooms through the sky, this Pokémon
seems to be receiving signals of unknown origin,
while transmitting signals of unknown purpose."
463,"Lickilicky",17,1400,"Licking Pokémon","Their saliva contains lots of components that can
dissolve anything. The numbness caused by their
lick does not dissipate."
464,"Rhyperior",24,2828,"Drill Pokémon","It puts rocks in holes in its palms and uses its
muscles to shoot them. Geodude are shot at
rare times."
465,"Tangrowth",20,1286,"Vine Pokémon","Its vines grow so profusely that, in the warm
season, you can’t even see its eyes."
466,"Electivire",18,1386,"Thunderbolt Pokémon","When it gets excited, it thumps its chest. With
every thud, thunder roars and electric sparks
shower all around."
467,"Magmortar",16,680,"Blast Pokémon","From its arm, it launches fireballs hotter than
3,500 degrees Fahrenheit. Its arm starts to
melt when it fires a whole barrage."
468,"Togekiss",15,380,"Jubilee Pokémon","It shares many blessings with people who respect
one another’s rights and avoid needless strife."
469,"Yanmega",19,515,"Ogre Darner Pokémon","This six-legged Pokémon is easily capable of
transporting an adult in flight. The wings on its tail
help it stay balanced."
470,"Leafeon",10,255,"Verdant Pokémon","The younger they are, the more they smell like
fresh grass. With age, their fragrance takes on
the odor of fallen leaves."
471,"Glaceon",8,259,"Fresh Snow Pokémon","It freezes its fur into icicles, spiky and sharp,
and tackles its prey."
472,"Gliscor",20,425,"Fang Scorpion Pokémon","Its flight is soundless. It uses its lengthy tail to
carry off its prey... Then its elongated fangs do
the rest."
473,"Mamoswine",25,2910,"Twin Tusk Pokémon","Its impressive tusks are made of ice. The population
thinned when it turned warm after the ice age."
474,"Porygon-Z",9,340,"Virtual Pokémon","Its program was modified to facilitate
extra-dimensional activities, but that led to
noticeably strange behavior."
475,"Gallade",16,520,"Blade Pokémon","A master of courtesy and swordsmanship, it fights
using extending swords on its elbows."
476,"Probopass",14,3400,"Compass Pokémon","The main body controls three mobile units called
Mini-Noses, which it maneuvers to catch prey."
477,"Dusknoir",22,1066,"Gripper Pokémon","The antenna on its head captures radio waves from
the world of spirits that command it to take
people there."
478,"Froslass",13,266,"Snow Land Pokémon","The soul of a woman lost on a snowy mountain
possessed an icicle, becoming this Pokémon.
The food it most relishes is the souls of men."
479,"Rotom",3,3,"Plasma Pokémon","Its body is composed of plasma. It is known to
infiltrate electronic devices and wreak havoc."
480,"Uxie",3,3,"Knowledge Pokémon","It is said that its emergence gave humans the
intelligence to improve their quality of life."
481,"Mesprit",3,3,"Emotion Pokémon","It sleeps at the bottom of a lake. Its spirit is said to
leave its body to fly on the lake’s surface."
482,"Azelf",3,3,"Willpower Pokémon","It is thought that Uxie, Mesprit, and Azelf all came
from the same egg."
483,"Dialga",54,6830,"Temporal Pokémon","It has the power to control time. It appears in
Sinnoh-region myths as an ancient deity."
484,"Palkia",42,3360,"Spatial Pokémon","It has the ability to distort space. It is described as
a deity in Sinnoh-region mythology."
485,"Heatran",17,4300,"Lava Dome Pokémon","Boiling blood, like magma, circulates through its
body. It makes its dwelling place in volcanic caves."
486,"Regigigas",37,4200,"Colossal Pokémon","There is an enduring legend that states this
Pokémon towed continents with ropes."
487,"Giratina",45,7500,"Renegade Pokémon","It was banished for its violence. It silently gazed
upon the old world from the Distortion World."
488,"Cresselia",15,856,"Lunar Pokémon","Those who sleep holding Cresselia’s feather are
assured of joyful dreams. It is said to represent
the crescent moon."
489,"Phione",4,31,"Sea Drifter Pokémon","It drifts in warm seas. It always returns to where it
was born, no matter how far it may have drifted."
490,"Manaphy",3,14,"Seafaring Pokémon","It starts its life with a wondrous power that permits
it to bond with any kind of Pokémon."
491,"Darkrai",15,505,"Pitch-Black Pokémon","It can lull people to sleep and make them dream.
It is active during nights of the new moon."
492,"Shaymin",2,21,"Gratitude Pokémon","The blooming of Gracidea flowers confers the
power of flight upon it. Feelings of gratitude are
the message it delivers."
493,"Arceus",32,3200,"Alpha Pokémon","It is told in mythology that this Pokémon was born
before the universe even existed."
494,"Victini",4,40,"Victory Pokémon","When it shares the infinite energy it creates,
that being’s entire body will be overflowing
with power."
495,"Snivy",6,81,"Grass Snake Pokémon","They photosynthesize by bathing their tails in
sunlight. When they are not feeling well, their
tails droop."
496,"Servine",8,160,"Grass Snake Pokémon","When it gets dirty, its leaves can’t be used in
photosynthesis, so it always keeps itself clean."
497,"Serperior",33,630,"Regal Pokémon","It can stop its opponents’ movements with just a
glare. It takes in solar energy and boosts
it internally."
498,"Tepig",5,99,"Fire Pig Pokémon","It loves to eat roasted berries, but sometimes it
gets too excited and burns them to a crisp."
499,"Pignite",10,555,"Fire Pig Pokémon","When its internal fire flares up, its movements grow
sharper and faster. When in trouble, it emits smoke."
500,"Emboar",16,1500,"Mega Fire Pig Pokémon","It has mastered fast and powerful fighting moves.
It grows a beard of fire."
501,"Oshawott",5,59,"Sea Otter Pokémon","It fights using the scalchop on its stomach.
In response to an attack, it retaliates immediately
by slashing."
502,"Dewott",8,245,"Discipline Pokémon","As a result of strict training, each Dewott learns
different forms for using the scalchops."
503,"Samurott",15,946,"Formidable Pokémon","One swing of the sword incorporated in its armor
can fell an opponent. A simple glare from one of
them quiets everybody."
504,"Patrat",5,116,"Scout Pokémon","Extremely cautious, one of them will always be on
the lookout, but it won’t notice a foe coming
from behind."
505,"Watchog",11,270,"Lookout Pokémon","When they see an enemy, their tails stand high,
and they spit the seeds of berries stored in their
cheek pouches."
506,"Lillipup",4,41,"Puppy Pokémon","The long fur surrounding its face functions as
radar, enabling it to probe the condition of its
battle opponents."
507,"Herdier",9,147,"Loyal Dog Pokémon","This Pokémon obeys its master’s orders
faithfully. However, it refuses to listen to
anything said by a person it doesn’t respect."
508,"Stoutland",12,610,"Big-Hearted Pokémon","With this wise Pokémon, there could be no
concern that it would ever attack people. Some
parents even trust it to babysit."
509,"Purrloin",4,101,"Devious Pokémon","They steal from people for fun, but their victims
can’t help but forgive them. Their deceptively cute
act is perfect."
510,"Liepard",11,375,"Cruel Pokémon","Stealthily, it sneaks up on its target, striking from
behind before its victim has a chance to react."
511,"Pansage",6,105,"Grass Monkey Pokémon","It’s good at finding berries and gathers them from
all over. It’s kind enough to share them
with friends."
512,"Simisage",11,305,"Thorn Monkey Pokémon","Ill tempered, it fights by swinging its barbed tail
around wildly. The leaf growing on its head is
very bitter."
513,"Pansear",6,110,"High Temp Pokémon","This Pokémon lives in caves in volcanoes.
The fire within the tuft on its head can reach
600 degrees Fahrenheit."
514,"Simisear",10,280,"Ember Pokémon","When it gets excited, embers rise from its head
and tail and it gets hot. For some reason, it
loves sweets."
515,"Panpour",6,135,"Spray Pokémon","The water stored inside the tuft on its head is full of
nutrients. Plants that receive its water grow large."
516,"Simipour",10,290,"Geyser Pokémon","It prefers places with clean water. When its tuft runs
low, it replenishes it by siphoning up water with
its tail."
517,"Munna",6,233,"Dream Eater Pokémon","It eats the dreams of people and Pokémon. When it
eats a pleasant dream, it expels pink-colored mist."
518,"Musharna",11,605,"Drowsing Pokémon","The dream mist coming from its forehead changes
into many different colors depending on the dream
that was eaten."
519,"Pidove",3,21,"Tiny Pigeon Pokémon","These Pokémon live in cities. They are accustomed
to people. Flocks often gather in parks and plazas."
520,"Tranquill",6,150,"Wild Pigeon Pokémon","No matter where in the world it goes, it knows
where its nest is, so it never gets separated from
its Trainer."
521,"Unfezant",12,290,"Proud Pokémon","Males have plumage on their heads. They will never
let themselves feel close to anyone other than
their Trainers."
522,"Blitzle",8,298,"Electrified Pokémon","Its mane shines when it discharges electricity.
They use the frequency and rhythm of these flashes
to communicate."
523,"Zebstrika",16,795,"Thunderbolt Pokémon","They have lightning-like movements.
When Zebstrika run at full speed, the sound of
thunder reverberates."
524,"Roggenrola",4,180,"Mantle Pokémon","The hexagonal cavity is its ear. It walks in the
direction of sounds it hears, but if the sounds
cease, it panics and topples over."
525,"Boldore",9,1020,"Ore Pokémon","It explores caves in search of underground
water. It’s not comfortable around water, so
this Pokémon takes great care in lapping it up."
526,"Gigalith",17,2600,"Compressed Pokémon","Known for its hefty horsepower, this Pokémon
is a popular partner for construction workers."
527,"Woobat",4,21,"Bat Pokémon","The heart-shaped mark left on a body after a
Woobat has been attached to it is said to bring
good fortune."
528,"Swoobat",9,105,"Courting Pokémon","Anyone who comes into contact with the ultrasonic
waves emitted by a courting male experiences a
positive mood shift."
529,"Drilbur",3,85,"Mole Pokémon","By spinning its body, it can dig straight through the
ground at a speed of 30 mph."
530,"Excadrill",7,404,"Subterrene Pokémon","More than 300 feet below the surface, they build
mazelike nests. Their activity can be destructive to
subway tunnels."
531,"Audino",11,310,"Hearing Pokémon","It touches others with the feelers on its ears, using
the sound of their heartbeats to tell how they
are feeling."
532,"Timburr",6,125,"Muscular Pokémon","Always carrying squared logs, they help out with
construction. As they grow, they carry bigger logs."
533,"Gurdurr",12,400,"Muscular Pokémon","This Pokémon is so muscular and strongly built that
even a group of wrestlers could not make it budge
an inch."
534,"Conkeldurr",14,870,"Muscular Pokémon","Rather than rely on force, they master moves that
utilize the centrifugal force of spinning concrete."
535,"Tympole",5,45,"Tadpole Pokémon","By vibrating its cheeks, it emits sound waves
imperceptible to humans. It uses the rhythm of
these sounds to talk."
536,"Palpitoad",8,170,"Vibration Pokémon","It lives in the water and on land. It uses its long,
sticky tongue to immobilize its opponents."
537,"Seismitoad",15,620,"Vibration Pokémon","They shoot paralyzing liquid from their head bumps.
They use vibration to hurt their opponents."
538,"Throh",13,555,"Judo Pokémon","When it encounters a foe bigger than itself, it wants
to throw it. It changes belts as it gets stronger."
539,"Sawk",14,510,"Karate Pokémon","Tying their belts gets them pumped and makes their
punches more destructive. Disturbing their training
angers them."
540,"Sewaddle",3,25,"Sewing Pokémon","Since this Pokémon makes its own clothes out of
leaves, it is a popular mascot for fashion designers."
541,"Swadloon",5,73,"Leaf-Wrapped Pokémon","It protects itself from the cold by wrapping up in
leaves. It stays on the move, eating leaves
in forests."
542,"Leavanny",12,205,"Nurturing Pokémon","It keeps its eggs warm with heat from fermenting
leaves. It also uses leaves to make warm wrappings
for Sewaddle."
543,"Venipede",4,53,"Centipede Pokémon","Its bite injects a potent poison, enough to paralyze
large bird Pokémon that try to prey on it."
544,"Whirlipede",12,585,"Curlipede Pokémon","It is usually motionless, but when attacked,
it rotates at high speed and then crashes into
its opponent."
545,"Scolipede",25,2005,"Megapede Pokémon","With quick movements, it chases down its foes,
attacking relentlessly with its horns until it prevails."
546,"Cottonee",3,6,"Cotton Puff Pokémon","Pillows and beds stuffed with cotton exhaled
by Cottonee are soft and puffy, light and airy—
altogether top quality."
547,"Whimsicott",7,66,"Windveiled Pokémon","This Pokémon appears, riding upon the wind.
But if the wind gusts up, it’ll blow the cotton on
this Pokémon’s head clean off."
548,"Petilil",5,66,"Bulb Pokémon","By pruning the leaves on its head with
regularity, this Pokémon can be grown into a
fine plump shape."
549,"Lilligant",11,163,"Flowering Pokémon","As soon as it finds a male to be its partner,
the beautiful flower on its head darkens,
droops, and withers away."
550,"Basculin",10,180,"Hostile Pokémon","Red and blue Basculin usually do not get along,
but sometimes members of one school mingle with
the other’s school."
551,"Sandile",7,152,"Desert Croc Pokémon","It conceals itself in the sand and chomps down
on the legs of any prey that unwarily walk over
it. Its favorite food is Trapinch."
552,"Krokorok",10,334,"Desert Croc Pokémon","Thanks to the special membrane covering its
eyes, it can see its surroundings clearly, even in
the middle of the night."
553,"Krookodile",15,963,"Intimidation Pokémon","After clamping down with its powerful jaws,
it twists its body around to rip its prey in half."
